"name","x","y","z","class"
"AC005324.5",0.0298748741311725,0.429474132527559,0.13057583171797,"SARS-COV2-GSE120934"
"AC005363.1",0.0310972916478885,-0.115116992022846,0.316912419132065,"SARS-GSE56192"
"AC005540.1",0.0315428349825334,-0.148985700470752,0.42207623466559,"SARS-GSE56192"
"AC005586.1",0.0299618346094399,-0.0787153197258454,0.276117847150584,"SARS-COV2-GSE147507"
"AC005606.1",0.0311717048748156,0.361465958298388,0.443590775655326,"common"
"AC005696.2",0.0317202424320881,-0.162471619164259,0.463950599847405,"SARS-GSE56192"
"AC005726.2",0.0313594953790873,-0.135048839354834,0.378801673612719,"SARS-GSE56192"
"AC005740.3",0.0301378834357148,-0.0201457903258025,-0.0022247041749874,"MERS-GSE56192"
"AC005841.1",0.0306606384681713,0.701167941630378,0.391033778632778,"common"
"AC005943.2",0.953991985717398,-0.155194356507109,0.440811412130554,"common"
"AC005944.1",0.0304430041284202,-0.0653802514751833,0.162477672491572,"SARS-GSE56192"
"AC006001.3",0.0293491387959502,0.0177717185934985,-0.095712817854467,"SARS-GSE56192"
"AC006001.4",0.0326011322614194,-0.203876404025354,0.564397329840806,"common"
"AC006058.1",0.029844273602224,0.236725019196502,0.0792142147225442,"SARS-COV2-GSE120934"
"AC006064.4",0.0309561872947132,-0.104390712833343,0.283606854859339,"SARS-GSE56192"
"AC006116.8",0.031037728641086,-0.110589212220502,0.302853465551286,"SARS-GSE56192"
"AC006369.1",0.0310261135531454,-0.109706272231357,0.300111898411564,"SARS-GSE56192"
"AC006441.3",0.0313620527153093,0.502199138495565,0.553957749237698,"common"
"AC006449.9",0.0311015799093039,-0.115442971258389,0.317924598862719,"SARS-GSE56192"
"AC006547.2",0.0312713420974192,-0.128347722845204,0.357994414854351,"SARS-GSE56192"
"AC007193.3",0.0313058976058315,-0.130974516579234,0.366150723859017,"SARS-GSE56192"
"AC007229.1",0.0283426526581255,0.0942814156491397,-0.333278761063106,"SARS-GSE56192"
"AC007283.1",0.0296911923223382,-0.727515860928886,-0.177725855820196,"SARS-COV2-GSE120934"
"AC007292.1",0.030749873359661,-0.0887074201619554,0.234909547727333,"SARS-GSE56192"
"AC007308.1",0.0308323165959748,-0.0949744781944561,0.254369036000454,"SARS-GSE56192"
"AC007314.1",0.0304630727697181,-0.0669058022088866,0.167214573994415,"SARS-GSE56192"
"AC007319.1",0.0299240844456938,-0.0180077256020658,0.0066641814882431,"MERS-GSE56192"
"AC007378.1",0.0322649907818429,-0.203881559793325,0.592530269906789,"SARS-GSE56192"
"AC007383.3",0.0306721400473669,-0.0827983947404939,0.216561766312483,"SARS-GSE56192"
"AC007383.4",0.0310030225863548,-0.487165834822939,2.02095233212369,"SARS-COV2-GSE147507"
"AC007620.2",0.0310495647871357,-0.0651230469263982,0.0945767933995912,"common"
"AC007750.1",0.0298854851619197,-0.0176217192556812,0.00826898149275251,"MERS-GSE56192"
"AC007969.1",-2.96267075607361,-0.796559987219905,-0.19033166326112,"cov2-common"
"AC008026.1",0.0297136217655983,-0.586235450116891,-0.140079040103753,"SARS-COV2-GSE120934"
"AC008149.1",0.0309246247622439,-0.101991435081981,0.276156992894688,"SARS-GSE56192"
"AC008264.2",0.0312678305203055,0.0690246533692769,0.401763740103579,"common"
"AC008522.1",0.0294781442681232,-0.0135481677600635,0.0252045462050051,"MERS-GSE56192"
"AC008569.1",0.0308211516220659,-0.094125754362796,0.251733711520665,"SARS-GSE56192"
"AC008738.7",0.0310475220195381,-0.111333671970485,0.30516504551424,"SARS-GSE56192"
"AC008750.8",0.0294805418230319,-0.0135721441482252,0.0251048656992559,"MERS-GSE56192"
"AC008760.2",0.0299719623490095,1.04102133599224,0.293534055992797,"SARS-COV2-GSE120934"
"AC008761.1",0.0289080547741798,0.0513014450482301,-0.199824079528306,"SARS-GSE56192"
"AC008764.3",0.0312749123090472,-0.128619118346663,0.35883710971223,"SARS-GSE56192"
"AC008878.1",0.029607848566738,1.15510879148628,0.33878406978183,"common"
"AC008878.4",0.0314313792739928,-0.140513211705038,0.395768787865903,"SARS-GSE56192"
"AC008894.3",0.0320576603644731,-0.188120997548851,0.543593037383388,"SARS-GSE56192"
"AC008914.1",0.0321820904923078,-0.197579758109433,0.572962901082172,"SARS-GSE56192"
"AC009019.1",0.0307133551970078,-0.0859314320418779,0.226289983652957,"SARS-GSE56192"
"AC009065.10",0.0294806292810032,-0.0135730187585468,0.0251012295552879,"MERS-GSE56192"
"AC009065.8",0.030630993202629,-0.0796705497485155,0.206849671318963,"SARS-GSE56192"
"AC009093.8",0.0292528995232581,0.0250875049931439,-0.1184286534051,"SARS-GSE56192"
"AC009119.1",0.0298190140823325,0.398374136061305,0.124266971350965,"common"
"AC009163.5",0.0296378185882275,-1.06371070064294,-0.26731127748475,"SARS-COV2-GSE120934"
"AC009511.1",0.0307741941219097,-0.0809038298779272,0.200060060340493,"common"
"AC009511.2",0.0306893885046423,-0.0841095645531954,0.220633005714131,"SARS-GSE56192"
"AC009630.2",0.0317449773402364,-0.164351883837565,0.469788903589098,"SARS-GSE56192"
"AC009690.2",0.0284028417443736,0.0897060433893183,-0.319072030828054,"SARS-GSE56192"
"AC010245.1",0.0312195623669207,-0.12441160157619,0.345772586800621,"SARS-GSE56192"
"AC010323.1",0.0300772767382732,1.70438422052818,0.470299540490754,"SARS-COV2-GSE120934"
